mode,matrix_layout,data_layout,looking,m,b,repeat,num_systems,num_threads,time_ms,gflops,max_rel_error
fp64,tiled,col_major,right,4096,16,0,40,40,47.298366,14.18841065,2.543416879e-16
fp64,tiled,col_major,right,4096,16,1,40,40,47.887888,14.01374477,2.543416879e-16
fp64,tiled,col_major,right,4096,16,2,40,40,47.876617,14.01704385,2.543416879e-16
fp64,tiled,col_major,right,4096,16,3,40,40,47.937305,13.99929846,2.543416879e-16
fp64,tiled,col_major,right,4096,16,4,40,40,48.153785,13.93636326,2.543416879e-16
fp64,tiled,col_major,right,4096,16,5,40,40,47.96506,13.99119776,2.543416879e-16
fp64,tiled,col_major,right,4096,16,6,40,40,47.818249,14.03415336,2.543416879e-16
fp64,tiled,col_major,right,4096,16,7,40,40,47.965639,13.99102887,2.543416879e-16
fp64,tiled,col_major,right,4096,16,8,40,40,47.594722,14.10006429,2.543416879e-16
fp64,tiled,col_major,right,4096,16,9,40,40,48.109765,13.9491149,2.543416879e-16
fp32_fp64,tiled,col_major,right,4096,16,0,40,40,34.198397,19.62339463,2.536361683e-16
fp32_fp64,tiled,col_major,right,4096,16,1,40,40,34.219913,19.61105629,2.536361683e-16
fp32_fp64,tiled,col_major,right,4096,16,2,40,40,34.162259,19.64415292,2.536361683e-16
fp32_fp64,tiled,col_major,right,4096,16,3,40,40,34.166476,19.64172834,2.536361683e-16
fp32_fp64,tiled,col_major,right,4096,16,4,40,40,34.222152,19.60977323,2.536361683e-16
fp32_fp64,tiled,col_major,right,4096,16,5,40,40,34.188476,19.62908905,2.536361683e-16
fp32_fp64,tiled,col_major,right,4096,16,6,40,40,34.37276,19.52385086,2.536361683e-16
fp32_fp64,tiled,col_major,right,4096,16,7,40,40,34.136144,19.65918119,2.536361683e-16
fp32_fp64,tiled,col_major,right,4096,16,8,40,40,34.230378,19.60506074,2.536361683e-16
fp32_fp64,tiled,col_major,right,4096,16,9,40,40,34.118126,19.66956333,2.536361683e-16
fp32,tiled,col_major,right,4096,16,0,40,40,26.34911,25.46911983,1.253045848e-06
fp32,tiled,col_major,right,4096,16,1,40,40,32.588334,20.59291033,1.253045848e-06
fp32,tiled,col_major,right,4096,16,2,40,40,27.08931,24.77319061,1.253045848e-06
fp32,tiled,col_major,right,4096,16,3,40,40,26.379377,25.43989723,1.253045848e-06
fp32,tiled,col_major,right,4096,16,4,40,40,26.293896,25.5226019,1.253045848e-06
fp32,tiled,col_major,right,4096,16,5,40,40,26.349622,25.46862494,1.253045848e-06
fp32,tiled,col_major,right,4096,16,6,40,40,26.464257,25.35830271,1.253045848e-06
fp32,tiled,col_major,right,4096,16,7,40,40,26.473895,25.34907085,1.253045848e-06
fp32,tiled,col_major,right,4096,16,8,40,40,26.274506,25.54143701,1.253045848e-06
fp32,tiled,col_major,right,4096,16,9,40,40,26.369471,25.44945403,1.253045848e-06
direct_fp64_mkl,contiguous,col_major,direct,4096,16,0,40,40,40.504618,16.56820069,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,16,1,40,40,40.483305,16.57692325,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,16,2,40,40,40.474179,16.58066097,2.796139708e-16
