mode,matrix_layout,data_layout,looking,m,b,repeat,num_systems,num_threads,time_ms,gflops,max_rel_error
fp64,tiled,col_major,right,4096,16,0,4,4,798.659797,0.08402684629,2.178918382e-16
fp64,tiled,col_major,right,4096,16,1,4,4,12.613878,5.320240453,2.178918382e-16
fp64,tiled,col_major,right,4096,16,2,4,4,12.735561,5.269407763,2.178918382e-16
fp64,tiled,col_major,right,4096,16,3,4,4,12.633458,5.311994863,2.178918382e-16
fp64,tiled,col_major,right,4096,16,4,4,4,12.70173,5.283442807,2.178918382e-16
fp32_fp64,tiled,col_major,right,4096,16,0,4,4,18.601285,3.607754195,2.175319953e-16
fp32_fp64,tiled,col_major,right,4096,16,1,4,4,12.839948,5.226568207,2.175319953e-16
fp32_fp64,tiled,col_major,right,4096,16,2,4,4,12.809056,5.239173285,2.175319953e-16
fp32_fp64,tiled,col_major,right,4096,16,3,4,4,12.780955,5.250692456,2.175319953e-16
fp32_fp64,tiled,col_major,right,4096,16,4,4,4,12.801201,5.242388117,2.175319953e-16
fp32,tiled,col_major,right,4096,16,0,4,4,15.99226,4.196333977,1.253045848e-06
fp32,tiled,col_major,right,4096,16,1,4,4,10.353159,6.481969803,1.253045848e-06
fp32,tiled,col_major,right,4096,16,2,4,4,10.143327,6.616060391,1.253045848e-06
fp32,tiled,col_major,right,4096,16,3,4,4,9.960577,6.737447439,1.253045848e-06
fp32,tiled,col_major,right,4096,16,4,4,4,9.860398,6.805898099,1.253045848e-06
direct_fp64_mkl,contiguous,col_major,direct,4096,16,0,4,4,53.176786,1.261995488,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,16,1,4,4,6.018436,11.15054875,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,16,2,4,4,6.023968,11.14030885,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,16,3,4,4,6.088359,11.022488,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,16,4,4,4,6.068789,11.05803217,2.759621875e-16
direct_fp32_mkl,contiguous,col_major,direct,4096,16,0,4,4,5.49873,12.20442975,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,16,1,4,4,4.009432,16.73774839,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,16,2,4,4,3.925158,17.0971115,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,16,3,4,4,3.059311,21.93594048,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,16,4,4,4,3.049751,22.00470268,1.237329019e-06
fp64,tiled,col_major,right,4096,32,0,4,4,11.146555,6.020592371,2.518506761e-16
fp64,tiled,col_major,right,4096,32,1,4,4,8.324703,8.061412401,2.518506761e-16
fp64,tiled,col_major,right,4096,32,2,4,4,7.71555,8.697871701,2.518506761e-16
fp64,tiled,col_major,right,4096,32,3,4,4,7.72081,8.691946052,2.518506761e-16
fp64,tiled,col_major,right,4096,32,4,4,4,7.690354,8.726368643,2.518506761e-16
fp32_fp64,tiled,col_major,right,4096,32,0,4,4,11.075108,6.059432016,2.540590413e-16
fp32_fp64,tiled,col_major,right,4096,32,1,4,4,8.16857,8.215497205,2.540590413e-16
fp32_fp64,tiled,col_major,right,4096,32,2,4,4,6.303075,10.64700388,2.540590413e-16
fp32_fp64,tiled,col_major,right,4096,32,3,4,4,6.327162,10.60647159,2.540590413e-16
fp32_fp64,tiled,col_major,right,4096,32,4,4,4,6.260496,10.71941648,2.540590413e-16
fp32,tiled,col_major,right,4096,32,0,4,4,8.742191,7.676435347,1.221395882e-06
fp32,tiled,col_major,right,4096,32,1,4,4,7.749035,8.660286603,1.221395882e-06
fp32,tiled,col_major,right,4096,32,2,4,4,5.986491,11.21005009,1.221395882e-06
fp32,tiled,col_major,right,4096,32,3,4,4,5.953023,11.27307319,1.221395882e-06
fp32,tiled,col_major,right,4096,32,4,4,4,5.88851,11.39657808,1.221395882e-06
direct_fp64_mkl,contiguous,col_major,direct,4096,32,0,4,4,8.103765,8.281195716,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,32,1,4,4,7.547363,8.891696875,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,32,2,4,4,5.974565,11.2324268,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,32,3,4,4,5.943132,11.29183468,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,32,4,4,4,5.92804,11.32058218,2.759621875e-16
direct_fp32_mkl,contiguous,col_major,direct,4096,32,0,4,4,5.524176,12.14821251,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,32,1,4,4,3.952434,16.97912324,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,32,2,4,4,3.512901,19.10354547,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,32,3,4,4,3.250785,20.64389494,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,32,4,4,4,3.129156,21.4463146,1.237329019e-06
fp64,tiled,col_major,right,4096,64,0,4,4,9.003257,7.453842981,2.96631216e-16
fp64,tiled,col_major,right,4096,64,1,4,4,8.160467,8.223654847,2.96631216e-16
fp64,tiled,col_major,right,4096,64,2,4,4,6.799391,9.869834519,2.96631216e-16
fp64,tiled,col_major,right,4096,64,3,4,4,6.738125,9.959575401,2.96631216e-16
fp64,tiled,col_major,right,4096,64,4,4,4,6.783427,9.893062017,2.96631216e-16
fp32_fp64,tiled,col_major,right,4096,64,0,4,4,11.177582,6.003880267,2.972434169e-16
fp32_fp64,tiled,col_major,right,4096,64,1,4,4,7.468269,8.985865935,2.972434169e-16
fp32_fp64,tiled,col_major,right,4096,64,2,4,4,6.131605,10.94474677,2.972434169e-16
fp32_fp64,tiled,col_major,right,4096,64,3,4,4,6.119805,10.96585006,2.972434169e-16
fp32_fp64,tiled,col_major,right,4096,64,4,4,4,6.139468,10.9307295,2.972434169e-16
fp32,tiled,col_major,right,4096,64,0,4,4,5.493891,12.21517937,1.259460393e-06
fp32,tiled,col_major,right,4096,64,1,4,4,5.313953,12.6288027,1.259460393e-06
fp32,tiled,col_major,right,4096,64,2,4,4,4.225633,15.88137541,1.259460393e-06
fp32,tiled,col_major,right,4096,64,3,4,4,3.855177,17.40746638,1.259460393e-06
fp32,tiled,col_major,right,4096,64,4,4,4,3.859335,17.38871179,1.259460393e-06
direct_fp64_mkl,contiguous,col_major,direct,4096,64,0,4,4,8.338955,8.047634746,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,64,1,4,4,7.168995,9.360986303,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,64,2,4,4,5.97633,11.2291095,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,64,3,4,4,5.96421,11.25192842,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,64,4,4,4,5.957978,11.26369785,2.759621875e-16
direct_fp32_mkl,contiguous,col_major,direct,4096,64,0,4,4,5.46614,12.27719451,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,64,1,4,4,4.014507,16.71658911,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,64,2,4,4,3.585432,18.71709295,1.237329019e-06
